cenario_id,cenario,dssat_run,data,dia_safra,decisao_dssat,decisao_hydros_historico,decisao_hydros_instantaneo,classificacao_divergencia,umidade_solo_pct,agua_disponivel_mm,irrigacao_dssat_mm,estresse_dssat_original,estresse_hydros,ehc_historico,earg_historico,eaps_historico,ehc_instantaneo,earg_instantaneo,eaps_instantaneo,confianca_historico,confianca_instantaneo,conflito_historico,conflito_instantaneo,revisao_humana_historico,revisao_humana_instantaneo,compatibilidade_aps_historico,compatibilidade_aps_instantaneo,dependencia_material_aps_historico,dependencia_material_aps_instantaneo
irrigado_run_1,irrigado,1,1979/07/13,25,manter_irrigacao,reduzir_irrigacao,manter_irrigacao,vantagem_instantaneo,11.4,161,10.0,0.038,baixo,baixo,moderado,moderado,moderado,moderado,moderado,0.3175,0.348,0.3333,0.3333,True,False,0.514423,0.500962,True,False
irrigado_run_1,irrigado,1,1979/08/20,63,manter_irrigacao,iniciar_irrigacao,manter_irrigacao,vantagem_instantaneo,10.0,144,0.0,0.0,baixo,alto,alto,moderado,moderado,moderado,moderado,0.3773,0.3898,0.6667,0.3333,True,False,0.554808,0.541346,False,False
sem_irrigacao_run_2,sem_irrigacao,2,1979/07/15,27,iniciar_irrigacao,iniciar_irrigacao,manter_irrigacao,vantagem_historico,9.2,147,0.0,0.37,moderado,alto,alto,moderado,moderado,moderado,moderado,0.3804,0.3823,0.6667,0.3333,True,False,0.541346,0.527885,False,False
sem_irrigacao_run_2,sem_irrigacao,2,1979/10/15,119,iniciar_irrigacao,iniciar_irrigacao,manter_irrigacao,vantagem_historico,7.7,118,0.0,0.448,moderado,alto,alto,moderado,moderado,moderado,moderado,0.3752,0.3583,0.6667,0.3333,True,False,0.474038,0.460577,False,False
sem_irrigacao_run_2,sem_irrigacao,2,1979/10/17,121,iniciar_irrigacao,iniciar_irrigacao,manter_irrigacao,vantagem_historico,7.5,114,0.0,0.469,moderado,alto,alto,moderado,moderado,moderado,moderado,0.3782,0.3594,0.6667,0.3333,True,False,0.474038,0.474038,False,False
sem_irrigacao_run_2,sem_irrigacao,2,1979/10/18,122,iniciar_irrigacao,iniciar_irrigacao,manter_irrigacao,vantagem_historico,7.4,112,0.0,0.333,moderado,alto,alto,moderado,moderado,moderado,moderado,0.3782,0.3619,0.6667,0.3333,True,False,0.474038,0.4875,False,False
