cenario_id,cenario,dssat_run,data,dia_safra,decisao_dssat,decisao_hydros_historico,decisao_hydros_instantaneo,concordancia_historico,concordancia_instantaneo,mesma_decisao_hydros,confianca_historico,confianca_instantaneo,conflito_historico,conflito_instantaneo,revisao_humana_historico,revisao_humana_instantaneo,motivos_revisao_historico,motivos_revisao_instantaneo,avisos_governanca_historico,avisos_governanca_instantaneo,status_aps_historico,status_aps_instantaneo,compatibilidade_aps_historico,compatibilidade_aps_instantaneo,peso_efetivo_aps_historico,peso_efetivo_aps_instantaneo,decisao_sem_aps_historico,decisao_sem_aps_instantaneo,dependencia_material_aps_historico,dependencia_material_aps_instantaneo,score_historico,score_instantaneo,umidade_solo_pct,agua_disponivel_mm,irrigacao_dssat_mm,estresse_dssat_original,estresse_hydros,produtividade_kg_ha,ehc_historico,earg_historico,eaps_historico,ehc_instantaneo,earg_instantaneo,eaps_instantaneo
sem_irrigacao_run_2,sem_irrigacao,2,1979/08/28,71,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3765,0.3695,0.3333,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.541346,0.336451,0.332038,manter_irrigacao,manter_irrigacao,False,False,1.9333,1.9333,10.6,145,0.0,0.0,baixo,0,moderado,moderado,moderado,moderado,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/08/29,72,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3412,0.3936,0.6667,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.541346,0.294659,0.311156,manter_irrigacao,manter_irrigacao,False,False,1.8667,1.9333,10.0,140,0.0,0.0,baixo,0,moderado,moderado,moderado,moderado,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/08/30,73,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3375,0.3653,0.6667,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.541346,0.281043,0.325351,manter_irrigacao,manter_irrigacao,False,False,1.8667,1.9333,9.4,135,0.0,0.0,baixo,0,moderado,moderado,moderado,moderado,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/08/31,74,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3403,0.3383,0.6667,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.541346,0.293231,0.361388,manter_irrigacao,manter_irrigacao,False,False,1.8667,1.5333,10.8,143,0.0,0.0,baixo,0,moderado,moderado,moderado,baixo,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/09/01,75,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.346,0.367,0.6667,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.527885,0.289645,0.328113,manter_irrigacao,manter_irrigacao,False,False,1.8667,1.9333,10.5,142,0.0,0.0,baixo,0,moderado,moderado,moderado,moderado,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/09/02,76,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3428,0.3653,0.6667,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.541346,0.285889,0.325351,manter_irrigacao,manter_irrigacao,False,False,1.8667,1.9333,9.7,136,0.0,0.0,baixo,0,moderado,moderado,moderado,moderado,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/09/03,77,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3817,0.354,0.3333,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,fora_dominio,fora_dominio,0.541346,0.527885,0.312469,0.333725,manter_irrigacao,manter_irrigacao,False,False,1.9333,1.9333,9.4,133,0.0,0.0,baixo,0,moderado,moderado,moderado,moderado,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/09/04,78,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3332,0.3311,0.6667,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,fora_dominio,fora_dominio,0.514423,0.4875,0.276317,0.331506,manter_irrigacao,manter_irrigacao,False,False,1.8667,1.5333,10.7,141,0.0,0.0,baixo,0,moderado,moderado,moderado,baixo,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/09/05,79,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.3377,0.3397,0.3333,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,fora_dominio,fora_dominio,0.541346,0.541346,0.358818,0.353228,manter_irrigacao,manter_irrigacao,False,False,1.9333,1.5333,13.7,183,0.0,0.0,baixo,0,moderado,moderado,moderado,baixo,moderado,moderado
sem_irrigacao_run_2,sem_irrigacao,2,1979/09/06,80,manter_irrigacao,manter_irrigacao,manter_irrigacao,True,True,True,0.346,0.3366,0.3333,0.3333,False,False,,,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,confianca_global_baixa | alerta_interno_do_aiec | aps_fora_ou_parcialmente_fora_do_dominio,parcialmente_fora_dominio,fora_dominio,0.554808,0.527885,0.380206,0.359025,manter_irrigacao,manter_irrigacao,False,False,1.5333,1.5333,13.9,189,0.0,0.0,baixo,0,baixo,moderado,moderado,baixo,moderado,moderado
